epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.5799,1.42748,1.92728,0.93964,0.85245,0.83696,0.84845,0.63838,0.88788,0.98848,0.93431,0.000663677,0.000663677,0.000663677
2,110.048,1.52758,1.02884,0.97518,0.86045,0.84783,0.87906,0.6378,0.92489,0.77794,0.99499,0.00119864,0.00119864,0.00119864
3,163.991,1.50976,0.95016,0.96617,0.93779,0.81929,0.90863,0.71174,0.80826,0.64767,0.91629,0.0016016,0.0016016,0.0016016
4,221.789,1.35819,0.82836,0.94256,0.95356,0.80435,0.89571,0.70219,0.84231,0.65961,0.93114,0.001406,0.001406,0.001406
5,285.517,1.39127,0.81412,0.93759,0.91507,0.88043,0.93549,0.73389,0.76869,0.5478,0.91239,0.001208,0.001208,0.001208
6,341.542,1.32006,0.77135,0.91338,0.97395,0.81277,0.92258,0.71678,0.77026,0.54579,0.91004,0.00101,0.00101,0.00101
7,397.823,1.25348,0.71311,0.89927,0.92978,0.90217,0.94484,0.78162,0.6432,0.45979,0.86149,0.000812,0.000812,0.000812
8,453.168,1.17672,0.66299,0.88969,0.95227,0.86745,0.94028,0.75885,0.69339,0.45185,0.87997,0.000614,0.000614,0.000614
9,509.89,1.1242,0.63216,0.86724,0.97526,0.85705,0.94135,0.78198,0.63447,0.41017,0.85909,0.000416,0.000416,0.000416
10,566.946,1.10604,0.61178,0.87083,0.92747,0.8913,0.94224,0.78475,0.58951,0.40195,0.84488,0.000218,0.000218,0.000218
